epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,9642.24,0.52519,0.67915,0.28595,0.80373,0.99633,0.9982,0.995,0.92101,0.98489,0.98684,0.98492,0.76738,0.4734,0.5831,0.25437,0.74086,0.000445625,0.000445625,0.000445625
67,9787.24,0.53555,0.67279,0.28616,0.80689,0.99596,0.99825,0.995,0.92166,0.98262,0.98499,0.98383,0.75063,0.46273,0.58376,0.25376,0.73966,0.00043325,0.00043325,0.00043325
68,9931.1,0.52094,0.6793,0.27924,0.80526,0.99677,0.99811,0.995,0.91929,0.98916,0.99053,0.98695,0.76377,0.47309,0.57547,0.25332,0.74157,0.000420875,0.000420875,0.000420875
69,10075.6,0.52635,0.68632,0.28399,0.80617,0.99665,0.99811,0.995,0.92308,0.9795,0.98106,0.9772,0.766,0.45917,0.5415,0.24904,0.74019,0.0004085,0.0004085,0.0004085
70,10220.4,0.52138,0.66383,0.27622,0.80599,0.99942,0.99964,0.995,0.9206,0.98425,0.98451,0.98103,0.75829,0.46183,0.5652,0.246,0.74214,0.000396125,0.000396125,0.000396125
71,10364.2,0.5082,0.67476,0.27192,0.80287,0.99641,0.99848,0.995,0.92269,0.98162,0.98302,0.97969,0.76559,0.45376,0.58508,0.24507,0.74153,0.00038375,0.00038375,0.00038375
72,10508.7,0.51418,0.67578,0.2734,0.80078,0.99927,1,0.995,0.92462,0.98791,0.98864,0.98607,0.77347,0.44971,0.58858,0.24662,0.73955,0.000371375,0.000371375,0.000371375
73,10652.9,0.5045,0.66579,0.27272,0.80125,0.9993,0.99811,0.995,0.92921,0.99168,0.99053,0.98747,0.77735,0.44425,0.57369,0.2412,0.7386,0.000359,0.000359,0.000359
74,10793.7,0.51723,0.68125,0.27395,0.80681,0.99605,0.99844,0.995,0.92457,0.98843,0.99087,0.9899,0.77455,0.45259,0.56963,0.24876,0.73895,0.000346625,0.000346625,0.000346625
75,10936.9,0.50608,0.65362,0.27174,0.79975,0.99699,0.99825,0.995,0.93227,0.9877,0.98872,0.98821,0.76803,0.43266,0.59494,0.23458,0.73718,0.00033425,0.00033425,0.00033425
76,11082,0.49686,0.6419,0.26666,0.80175,0.99829,0.99986,0.995,0.93192,0.98124,0.98281,0.97974,0.75727,0.44181,0.58272,0.23864,0.73795,0.000321875,0.000321875,0.000321875
77,11227.3,0.50133,0.64882,0.2684,0.80201,0.99938,0.99811,0.995,0.92848,0.98414,0.98295,0.98182,0.76248,0.44441,0.56609,0.24214,0.73766,0.0003095,0.0003095,0.0003095
78,11372.4,0.4882,0.65034,0.26428,0.80251,0.99711,0.99811,0.995,0.93112,0.98375,0.98485,0.98368,0.75599,0.42677,0.5688,0.22744,0.73767,0.000297125,0.000297125,0.000297125
79,11517.4,0.49077,0.64,0.26521,0.79867,0.99854,0.99985,0.995,0.92856,0.98717,0.98849,0.98671,0.7674,0.43471,0.57021,0.23195,0.73692,0.00028475,0.00028475,0.00028475
80,11662.6,0.48661,0.66473,0.26045,0.7985,0.9969,0.99834,0.995,0.92913,0.98928,0.99076,0.98873,0.7684,0.43191,0.55005,0.23384,0.73726,0.000272375,0.000272375,0.000272375
81,11808.3,0.48889,0.64325,0.25792,0.80276,0.99863,0.99983,0.995,0.92952,0.98915,0.99037,0.99021,0.76464,0.43192,0.56253,0.22979,0.73673,0.00026,0.00026,0.00026
82,11952.8,0.47613,0.64638,0.25424,0.79616,0.99923,0.99811,0.995,0.93279,0.98781,0.98674,0.98838,0.77553,0.42041,0.55885,0.22606,0.73582,0.000247625,0.000247625,0.000247625
83,12097.9,0.4723,0.62996,0.25371,0.79937,0.99947,0.99811,0.995,0.93358,0.98805,0.98674,0.98662,0.7649,0.41627,0.54938,0.23032,0.73672,0.00023525,0.00023525,0.00023525
84,12243.2,0.47492,0.63989,0.25278,0.7955,0.999,0.99984,0.995,0.93415,0.99332,0.99416,0.99086,0.76976,0.41087,0.55755,0.22988,0.73604,0.000222875,0.000222875,0.000222875
85,12388.1,0.4715,0.63784,0.25329,0.79664,0.99863,0.99985,0.995,0.93763,0.99105,0.99227,0.98787,0.77531,0.40345,0.56505,0.23086,0.73497,0.0002105,0.0002105,0.0002105
86,12533.4,0.46813,0.63633,0.24964,0.79621,0.99865,0.99985,0.995,0.93447,0.98918,0.99039,0.989,0.76975,0.40709,0.54954,0.22609,0.73452,0.000198125,0.000198125,0.000198125
87,12678.5,0.47605,0.63805,0.25338,0.8032,0.99871,0.99984,0.995,0.93501,0.98734,0.98849,0.98569,0.76609,0.40284,0.56147,0.22307,0.73397,0.00018575,0.00018575,0.00018575
88,12823.6,0.46605,0.63117,0.24887,0.79945,0.99866,0.99984,0.995,0.93568,0.98919,0.99037,0.98795,0.76948,0.40089,0.56219,0.22078,0.73413,0.000173375,0.000173375,0.000173375
89,12968.4,0.46563,0.63597,0.24613,0.79518,0.99886,0.99987,0.995,0.93748,0.99128,0.9923,0.99128,0.76074,0.39663,0.5541,0.22022,0.73378,0.000161,0.000161,0.000161
90,13113.8,0.45746,0.63288,0.24125,0.79628,0.99885,0.99986,0.995,0.939,0.99127,0.99229,0.98658,0.76094,0.39408,0.56267,0.22016,0.73423,0.000148625,0.000148625,0.000148625
91,13279.7,0.43825,0.62007,0.23556,0.78586,0.99661,0.99811,0.995,0.93657,0.98518,0.98674,0.9854,0.75623,0.40471,0.55961,0.22404,0.73478,0.00013625,0.00013625,0.00013625
92,13424.6,0.42621,0.61529,0.22873,0.79106,0.9968,0.99825,0.995,0.93747,0.9846,0.97994,0.9804,0.75334,0.39735,0.56264,0.22055,0.7342,0.000123875,0.000123875,0.000123875
93,13569.3,0.43118,0.61799,0.23204,0.78583,0.99887,0.99987,0.995,0.93716,0.9856,0.98662,0.98413,0.7615,0.3944,0.54895,0.21552,0.73424,0.0001115,0.0001115,0.0001115
94,13714.5,0.42529,0.61643,0.22793,0.79019,0.99856,0.99985,0.995,0.93897,0.98915,0.98674,0.98492,0.76206,0.39396,0.55414,0.21457,0.73384,9.9125e-05,9.9125e-05,9.9125e-05
95,13859.6,0.42456,0.61775,0.22662,0.79059,0.99867,0.99985,0.995,0.93774,0.9873,0.98849,0.98527,0.75989,0.39111,0.55259,0.21334,0.73292,8.675e-05,8.675e-05,8.675e-05
96,14004.1,0.41555,0.60112,0.22537,0.78622,0.99731,0.99831,0.995,0.94107,0.98433,0.98493,0.98464,0.75936,0.3902,0.54491,0.21236,0.73279,7.4375e-05,7.4375e-05,7.4375e-05
97,14148.7,0.41588,0.61117,0.22314,0.78792,0.99872,0.99985,0.995,0.94074,0.98545,0.98659,0.98441,0.7583,0.38763,0.54668,0.20841,0.73331,6.2e-05,6.2e-05,6.2e-05
98,43283.6,0.40816,0.5925,0.22032,0.78166,0.9987,0.99985,0.995,0.9407,0.98922,0.99039,0.98805,0.76259,0.38673,0.54373,0.20786,0.73269,4.9625e-05,4.9625e-05,4.9625e-05
99,43431,0.40607,0.59651,0.21847,0.78644,0.99865,0.99986,0.995,0.94197,0.98539,0.9866,0.98471,0.76539,0.38448,0.54021,0.20815,0.73237,3.725e-05,3.725e-05,3.725e-05
100,43575.3,0.40908,0.61582,0.21858,0.78437,0.99853,0.99985,0.995,0.94171,0.98337,0.9847,0.98281,0.76672,0.38243,0.5356,0.20609,0.7322,2.4875e-05,2.4875e-05,2.4875e-05
